job_title,skills,location,salary
Data Analyst,"Python, SQL, Power BI",Delhi,600000
Data Scientist,"Python, Machine Learning, NLP",Bangalore,1200000
ML Engineer,"Python, Deep Learning, TensorFlow",Hyderabad,1400000
Business Analyst,"Excel, SQL, Tableau",Mumbai,700000
AI Engineer,"Python, NLP, Transformers",Pune,1500000
Data Engineer,"SQL, Spark, Hadoop",Chennai,1300000
BI Analyst,"Power BI, SQL, Excel",Noida,650000
Python Developer,"Python, APIs, Flask",Gurgaon,800000
Cloud Data Engineer,"AWS, Python, SQL",Bangalore,1450000
Analytics Consultant,"Power BI, Tableau, SQL",Delhi,900000
